Gender,Home Location,Level of Education,Age(Years),Number of Subjects,Device type used to attend classes,Economic status,Family size,Internet facility,Are you involved in any sports?,Do elderly people monitor you?,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Interested in Gaming?,Have separate room for studying?,Engaged in group studies?,Average marks scored before pandemic in traditional classroom,Online mode interaction,Clearing doubts with faculties in online mode,Interested in?,Performance in online,Satifaction level in O.E,min_average,max_average,Performance in classroom
Male,Urban,Under Graduate,18,11,Laptop,Middle Class,4,very_good,No,Yes,3,6,1,No,No,No,91-100,very_bad,very_bad,Practical,60.0,Average,91,100,95.5
Male,Urban,Under Graduate,19,7,Laptop,Middle Class,4,very_bad,Yes,Yes,7,5,1,Yes,Yes,No,91-100,very_bad,very_bad,Theory,30.0,Bad,91,100,95.5
Male,Rural,Under Graduate,18,5,Laptop,Middle Class,5,bad,No,Yes,6,7,1,No,Yes,No,71-80,very_bad,very_bad,Both,60.0,Bad,71,80,75.5
Male,Urban,Under Graduate,18,5,Laptop,Middle Class,4,good,Yes,Yes,3,6,2,No,No,yes,91-100,very_bad,bad,Theory,40.0,Bad,91,100,95.5
Male,Rural,Under Graduate,18,5,Laptop,Middle Class,4,fair,No,No,8,7,2,Yes,Yes,yes,81-90,fair,fair,Both,60.0,Average,81,90,85.5
Male,Urban,Under Graduate,18,5,Laptop,Middle Class,4,good,Yes,Yes,3,6,2,No,No,yes,91-100,very_bad,very_bad,Theory,20.0,Bad,91,100,95.5
Male,Urban,Under Graduate,19,5,Laptop,Middle Class,5,very_good,No,No,2,6,3,Yes,Yes,yes,81-90,good,fair,Both,60.0,Average,81,90,85.5
Male,Urban,Under Graduate,17,4,Laptop,Middle Class,4,good,Yes,Yes,4,8,6,No,Yes,No,61-70,fair,fair,Practical,60.0,Average,61,70,65.5
Female,Urban,Under Graduate,19,5,Laptop,Middle Class,4,good,No,Yes,6,6,2,No,Yes,yes,81-90,good,very_bad,Both,90.0,Bad,81,90,85.5
Female,Rural,Under Graduate,20,9,Laptop,Middle Class,4,fair,No,Yes,4,7,2,No,No,No,81-90,fair,bad,Theory,60.0,Average,81,90,85.5
Female,Urban,Under Graduate,18,4,Desktop,Middle Class,3,very_good,No,No,5,6,3,Yes,Yes,No,81-90,bad,very_bad,Practical,90.0,Average,81,90,85.5
Male,Rural,Post Graduate,25,5,Mobile,Middle Class,2,fair,No,Yes,3,7,1,Yes,Yes,yes,71-80,fair,fair,Practical,70.0,Average,71,80,75.5
Male,Urban,Under Graduate,20,7,Laptop,Middle Class,4,good,Yes,No,7,5,1,Yes,Yes,yes,81-90,good,good,Both,60.0,Average,81,90,85.5
Male,Urban,Under Graduate,17,5,Laptop,Middle Class,4,good,Yes,Yes,2,6,2,Yes,No,yes,81-90,fair,bad,Practical,50.0,Average,81,90,85.5
Male,Urban,School,21,5,Laptop,Middle Class,5,good,Yes,Yes,5,7,2,Yes,No,No,81-90,fair,fair,Both,60.0,Average,81,90,85.5
Male,Urban,School,20,5,Desktop,Middle Class,4,fair,Yes,Yes,5,6,5,Yes,Yes,yes,91-100,bad,bad,Both,50.0,Bad,91,100,95.5
Female,Urban,Post Graduate,20,9,Laptop,Middle Class,4,good,No,Yes,8,5,2,No,No,No,31-40,bad,bad,Practical,60.0,Average,31,40,35.5
Male,Rural,Post Graduate,23,5,Desktop,Middle Class,6,fair,No,No,5,7,2,Yes,Yes,No,81-90,bad,bad,Both,60.0,Bad,81,90,85.5
Female,Urban,School,18,4,Desktop,Middle Class,4,good,No,Yes,7,7,2,No,Yes,yes,81-90,bad,bad,Theory,70.0,Average,81,90,85.5
Female,Urban,Under Graduate,19,6,Laptop,Middle Class,4,very_good,No,Yes,5,7,4,No,Yes,No,81-90,fair,bad,Theory,60.0,Average,81,90,85.5
Male,Urban,Post Graduate,24,20,Laptop,Poor,6,fair,No,No,8,8,2,No,No,No,81-90,bad,fair,Practical,40.0,Bad,81,90,85.5
Female,Urban,Post Graduate,22,8,Mobile,Middle Class,4,good,No,No,2,8,2,Yes,Yes,yes,81-90,fair,fair,Both,100.0,Good,81,90,85.5
Female,Urban,School,19,5,Mobile,Middle Class,5,very_good,No,Yes,6,7,2,No,Yes,yes,61-70,fair,fair,Both,70.0,Average,61,70,65.5
Female,Urban,Post Graduate,24,8,Laptop,Middle Class,4,fair,No,Yes,7,6,2,Yes,No,No,81-90,fair,fair,Both,50.0,Average,81,90,85.5
Female,Urban,Under Graduate,18,6,Laptop,Middle Class,4,very_good,No,No,4,5,5,No,Yes,yes,91-100,fair,fair,Theory,60.0,Average,91,100,95.5
Female,Rural,Post Graduate,21,9,Mobile,Middle Class,4,fair,No,No,7,8,4,Yes,Yes,No,81-90,fair,bad,Both,80.0,Good,81,90,85.5
Female,Urban,Under Graduate,19,7,Mobile,Middle Class,4,good,No,No,6,8,3,No,No,No,71-80,fair,fair,Theory,70.0,Average,71,80,75.5
Male,Rural,Under Graduate,21,8,Mobile,Poor,4,fair,No,No,1,7,5,Yes,No,No,41-50,fair,very_bad,Theory,60.0,Average,41,50,45.5
Male,Urban,Under Graduate,20,7,Laptop,Middle Class,4,good,Yes,No,3,7,4,Yes,Yes,No,81-90,good,fair,Both,80.0,Average,81,90,85.5
Female,Urban,Under Graduate,17,5,Laptop,Middle Class,3,fair,No,Yes,5,6,3,No,No,yes,91-100,fair,fair,Practical,60.0,Average,91,100,95.5
